layers,kl_clean_to_intervened,target_logit_delta
0,0.0012425326077694385,-0.27421162923177084
0-1,0.009201928770441252,-0.5229502360026042
0-1-2,0.04289510501354622,-0.5850250244140625
1,0.003986581706461341,-0.25609003702799477
1-2,0.028436205939700206,-0.31783955891927085
1-2-3,0.07434389125167702,-1.8481867472330729
10,0.9484486569960912,-35.88567988077799
2,0.013515195868209654,-0.07873280843098958
2-3,0.051659349778977535,-1.5164873758951822
2-3-4,0.11243603348460358,-2.478306833902995
3,0.012420787805846581,-1.3569549560546874
3-4,0.04811829735893601,-2.328290812174479
3-4-5,0.1621955907709586,-4.36254145304362
4,0.011148447915972307,-1.0046920776367188
4-5,0.08122288556963515,-3.0288597106933595
4-5-6,0.14658174089272508,-5.443607330322266
5,0.030667209828000825,-2.082777659098307
5-6,0.08021017511515917,-4.555623881022135
5-6-7,0.2815721873970081,-9.391541544596354
6,0.010196657051953177,-2.398077138264974
6-7,0.12906618244790782,-7.529313913981119
6-7-8,0.5244936463733514,-19.508731842041016
7,0.05546741437865421,-5.144716898600261
7-8,0.3630484348163009,-18.12774403889974
7-8-9,2.8377689865728217,-47.13152262369792
8,0.11481293386314065,-13.913813273111979
8-9,1.9108066106836001,-47.02072448730469
8-9-10,5.8994504352410635,-35.115345509847
9,0.5576093067725499,-37.055969111124675
9-10,4.141887970765432,-37.94418169657389
