source_entity,target_entity,target_answer,control_word,target_token,control_token,target_clean_rank,control_clean_rank,target_clean_log_probability,control_clean_log_probability,clean_log_probability_mismatch,semantic_target_delta,semantic_control_delta,control_target_delta,control_semantic_target_delta,semantic_energy,control_energy,relative_energy_mismatch
France,England,London,Vill,3576,9757,75,74,-6.7024312019348145,-6.7023091316223145,-0.0001220703125,5.276594638824463,-0.29335927963256836,6.699223518371582,-9.130044937133789,1811.44730758667,1811.4474296569824,6.738827676010634e-08
France,Spain,Madrid,Austria,14708,17322,141,142,-7.296623706817627,-7.2988057136535645,0.0021820068359375,6.845077037811279,-3.3006138801574707,7.150007724761963,-7.17782735824585,3178.1466674804688,3178.1464233398438,7.681855198757921e-08
France,Portugal,Lisbon,Normandy,41898,43231,127,126,-7.176964282989502,-7.171051502227783,-0.00591278076171875,4.644684791564941,-2.595641613006592,5.641002655029297,-3.6615262031555176,3359.2979125976562,3359.2976684570312,7.267608629900065e-08
France,China,Beijing,Cycl,11618,28007,1271,1270,-9.845771789550781,-9.845069885253906,-0.000701904296875,9.360793113708496,-3.9621591567993164,9.845047950744629,-16.930831909179688,5324.342926025391,5324.342987060547,1.1463415692415326e-08
France,Austria,Vienna,Culture,23825,17346,224,225,-7.692657947540283,-7.6997456550598145,0.00708770751953125,7.540927410125732,-1.1208996772766113,7.6996941566467285,-16.552785873413086,3096.8343505859375,3096.833984375,1.1825331807970644e-07
France,Norway,Oslo,Health,39636,3893,1101,1102,-9.632232666015625,-9.632247924804688,1.52587890625e-05,7.508255481719971,-0.09191131591796875,9.584643363952637,-9.075651168823242,4807.3375244140625,4807.337219238281,6.348124709366981e-08
England,Italy,Rome,Tra,10598,4759,322,321,-8.129990577697754,-8.129578590393066,-0.0004119873046875,8.118484497070312,-4.3925628662109375,8.129576683044434,-16.58587646484375,4462.977294921875,4462.977722167969,9.573118246336025e-08
England,Portugal,Lisbon,the,41898,262,311,312,-8.084092140197754,-8.086060523986816,0.0019683837890625,4.548935890197754,2.74654483795166,4.384779930114746,-2.7600717544555664,3882.7075805664062,3882.708251953125,1.72917147330487e-07
England,Japan,Tokyo,Hub,11790,14699,762,763,-9.161866188049316,-9.162552833557129,0.0006866455078125,7.575162410736084,-0.7661991119384766,9.159991264343262,-10.730450630187988,4726.887237548828,4726.886749267578,1.0329868800788294e-07
England,Russia,Moscow,Jun,9070,7653,1820,1821,-10.376397132873535,-10.376648902893066,0.00025177001953125,8.190929412841797,1.6432533264160156,10.376503944396973,-22.197418212890625,6537.1695556640625,6537.168701171875,1.307128689601808e-07
